id,created_at,text,retweet_count,favorite_count
957647701688143873,2018-01-28 16:12:58,b'@RobinSchroeds @atalanta44 @Trumpcrazytrain @ojiichan42 @CNNPolitics It take a bit of work bc FBI Agents question y\xe2\x80\xa6 https://t.co/hknBFEj2VH',0,0
957647677591834625,2018-01-28 16:12:53,"b""The EPA made a surprise move that could protect the world's largest salmon fishery @CNNPolitics https://t.co/UgOQM8mPss""",0,0
957647667424907264,2018-01-28 16:12:50,"b'RT @CNNPolitics: Jay-Z criticizes President Trump\'s vulgar comment about African nations: ""It\'s really hurtful because he\'s looking down on\xe2\x80\xa6'",2592,0
957647638182035456,2018-01-28 16:12:43,"b'RT @CNNPolitics: Exclusive: Democrats call on the State Department\'s watchdog to conduct an ""immediate review"" of personnel practices after\xe2\x80\xa6'",840,0
957647635770413056,2018-01-28 16:12:43,"b'RT @CNNPolitics: Sen. Susan Collins: ""It probably wouldn\'t hurt"" for Congress to protect special counsel Robert Mueller https://t.co/3MCHkd\xe2\x80\xa6'",31,0
957647615734308864,2018-01-28 16:12:38,"b'RT @CNNPolitics: Sen. Susan Collins: ""It probably wouldn\'t hurt"" for Congress to protect special counsel Robert Mueller https://t.co/3MCHkd\xe2\x80\xa6'",31,0
957647600487944192,2018-01-28 16:12:34,"b'RT @CNNPolitics: Sen. Susan Collins: ""It probably wouldn\'t hurt"" for Congress to protect special counsel Robert Mueller https://t.co/3MCHkd\xe2\x80\xa6'",31,0
957647591658827776,2018-01-28 16:12:32,b'@CNNPolitics All cnn will report this but they won\xe2\x80\x99t report he fbi biased against trump omg this is absolute insanity.',0,0
957647589733687297,2018-01-28 16:12:32,"b'RT @CNNPolitics: Sen. Susan Collins: ""It probably wouldn\'t hurt"" for Congress to protect special counsel Robert Mueller https://t.co/3MCHkd\xe2\x80\xa6'",31,0
957647564840587265,2018-01-28 16:12:26,"b'RT @CNNPolitics: Jay-Z criticizes President Trump\'s vulgar comment about African nations: ""It\'s really hurtful because he\'s looking down on\xe2\x80\xa6'",2592,0
957647562575695873,2018-01-28 16:12:25,"b'RT @CNNPolitics: Sen. Susan Collins: ""It probably wouldn\'t hurt"" for Congress to protect special counsel Robert Mueller https://t.co/3MCHkd\xe2\x80\xa6'",31,0
957647554090475520,2018-01-28 16:12:23,"b'@CNNPolitics Sounds INSANE despite all the excuses given for capacity, fit, FAA approval, etc,. That is the cost of\xe2\x80\xa6 https://t.co/TazjRoTx5w'",0,0
957647538101936128,2018-01-28 16:12:19,b'@CNNPolitics @Acosta @JakeTapper @ReliableSources @brianstelter \n\xf0\x9f\x98\x86\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x83\xf0\x9f\x98\x84 https://t.co/6tugoNdcKD',0,0
957647527326699521,2018-01-28 16:12:17,"b'RT @CNNPolitics: Jay-Z criticizes President Trump\'s vulgar comment about African nations: ""It\'s really hurtful because he\'s looking down on\xe2\x80\xa6'",2592,0
957647503717011458,2018-01-28 16:12:11,b'@CNNPolitics Uh .... now you think this?  Get real Susan...or get out',0,0
957647497224163328,2018-01-28 16:12:10,"b'RT @CNNPolitics: Jay-Z criticizes President Trump\'s vulgar comment about African nations: ""It\'s really hurtful because he\'s looking down on\xe2\x80\xa6'",2592,0
957647495978512386,2018-01-28 16:12:09,"b'RT @CNNPolitics: Jay-Z criticizes President Trump\'s vulgar comment about African nations: ""It\'s really hurtful because he\'s looking down on\xe2\x80\xa6'",2592,0
