id,created_at,text,retweet_count,favorite_count
948939581197639681,2018-01-04 15:30:01,b'RT @WeDontHaveTime0: In a New Zealand newspaper 1912. If we only had listened. #environment https://t.co/ycdSDxPODn',3199,0
948939525442691073,2018-01-04 15:29:47,b'Track #airpollution with this smart umbrella: https://t.co/9MtNyXQQ7y https://t.co/AOm8iZPPrm #FastCoDesign\xe2\x80\xa6 https://t.co/OSVNrKSyMP',0,0
948939501291954182,2018-01-04 15:29:42,b'Jealous of this awesome nature play area? Design your own with this guide: https://t.co/sxrtfgZ3hT #playoutdoors\xe2\x80\xa6 https://t.co/4vie2rXFaA',0,0
948939476516171776,2018-01-04 15:29:36,b'Green Ambassador Training 2018. \nTheme: Disruptive Innovation for Social and Environment Impact. #Environment https://t.co/UgVoUR6a1Q',0,0
948939442080894978,2018-01-04 15:29:28,"b""8 things we bet you didn't know about electric cars: https://t.co/o6o4taHOK4 #huffpostgreen #environment #electriccars #green""",0,0
948939374347112448,2018-01-04 15:29:11,"b""Of Course \nIf we ever Do see the day when it's snowing heavily in Los Angeles \nWe're in Trouble!!  #environment""",0,0
948939367871066112,2018-01-04 15:29:10,"b'RT @christianenviro: ""The climate is changing. The proper political debate would be how to deal with these risks."" #nature #environment htt\xe2\x80\xa6'",5,0
948939357796302848,2018-01-04 15:29:07,"b'RT @christianenviro: ""The climate is changing. The proper political debate would be how to deal with these risks."" #nature #environment htt\xe2\x80\xa6'",5,0
948939306915086336,2018-01-04 15:28:55,b'An Expression of Compassion https://t.co/oahrMHXvj6\n#tsemtulku \n#positive\n#life\n#freedom\n#love\n#environment\xe2\x80\xa6 https://t.co/BWOpf1dbu4',0,0
948939302968311808,2018-01-04 15:28:54,b'RT @CSUBiodiversity: 17 ways the #environment lost in policy decisions over the holidays. #conservation #biodiversity @Revelator_News https\xe2\x80\xa6',2,0
948939258022256641,2018-01-04 15:28:44,"b'""The climate is changing. The proper political debate would be how to deal with these risks."" #nature #environment https://t.co/T0iefkLZWM'",5,4
948939256801714178,2018-01-04 15:28:43,"b'Norway surpasses ambitious car CO2 goal, 3 years early https://t.co/QBdUOuZ4kx #environment #climatechange #EV #transportation'",0,0
948939113478139904,2018-01-04 15:28:09,"b'RT @wellbelove: Powell Lake, Arizona and Utah. March 1999 \xe2\x80\x94 May 2014 #environment #climatechange https://t.co/obpmYBlWMt https://t.co/SdPgn\xe2\x80\xa6'",4,0
948938352773992450,2018-01-04 15:25:08,b'How can we change this? #ThursdayThoughts #PlasticPollution #Environment https://t.co/whR39bvSSf',0,0
948938335246045185,2018-01-04 15:25:04,"b""Want a piece of the \xc2\xa32m pot for innovating in local parks? Talk to us, we've already done half the work for you\xe2\x80\xa6 https://t.co/pr6iQd59Dz""",1,1
948938278992011264,2018-01-04 15:24:50,b'RT @CIFOR: Conserving #forests helps bees keep the buzz in #coffee\n#environment #news\nhttps://t.co/HplfHyAHz7',2,0
948938243537547264,2018-01-04 15:24:42,b'Great resource for those interested in learning more about protected areas around the world!\xe2\x80\xa6 https://t.co/4YAmUeexQk',0,0
948938229490900997,2018-01-04 15:24:38,b'RT @EPScotland: Air #pollution has more dire effects: It can lead to lower IQ in children https://t.co/R8edP4dmPd #air #environment #cleana\xe2\x80\xa6',5,0
948938083789099008,2018-01-04 15:24:04,b'Treat our planet with respect; we only have one. https://t.co/OGUjmH2vWT via @jdlarwood #climatechange #globalwarming #environment',0,0
